timestamp,device_os,dma,conversion
1706770803,android,"New York, New York",0
1706770927,ios,"Chicago, Illinois",0
1706771088,android,"Los Angeles, California",0
1706771304,ios,"New York, New York",0
1706771808,android,"New York, New York",0
1706771948,ios,"Chicago, Illinois",0
1706772100,android,"Boston (Manchester), Massachusetts",0
1706772442,ios,"New York, New York",0
1706772810,ios,"New York, New York",0
1706772962,ios,"Houston, Texas",0
1706773385,android,"New York, New York",0
1706773404,ios,"Chicago, Illinois",0
1706773473,android,"Washington, D.C. (Hagerstown)",0
1706773612,android,"San Francisco-Oakland-San Jose, California",0
1706773811,ios,"New York, New York",0
1706773972,ios,"Atlanta, Georgia",0
1706774411,android,"Dallas-Fort Worth, Texas",0
1706774534,android,"New York, New York",0
1706774769,android,"Boston (Manchester), Massachusetts",0
1706775262,android,"San Francisco-Oakland-San Jose, California",1
1706775423,android,"New York, New York",0
1706775569,android,"New York, New York",0
1706775657,ios,"Atlanta, Georgia",0
1706775926,ios,"Los Angeles, California",0
1706775985,ios,"New York, New York",0
1706776319,android,"Los Angeles, California",0
1706776325,android,"New York, New York",0
1706776327,android,"San Francisco-Oakland-San Jose, California",0
1706776398,ios,"New York, New York",0
1706776404,ios,"Los Angeles, California",0
1706776422,ios,"Houston, Texas",0
1706776653,android,"New York, New York",0
1706776653,android,"Philadelphia, Pennsylvania",0
1706776858,ios,"Philadelphia, Pennsylvania",0
1706776867,ios,"New York, New York",0
1706776981,ios,"New York, New York",0
1706777021,ios,"Chicago, Illinois",0
1706777023,ios,"Chicago, Illinois",0
1706777094,ios,"Dallas-Fort Worth, Texas",0
1706777210,ios,"New York, New York",0
1706777403,ios,"Los Angeles, California",0
1706777474,ios,"Philadelphia, Pennsylvania",0
1706777902,android,"New York, New York",0
1706778116,ios,"New York, New York",0
1706778162,android,"Atlanta, Georgia",0
1706778806,android,"Chicago, Illinois",0
1706778839,ios,"Los Angeles, California",0
1706779058,android,"New York, New York",0
1706779536,android,"Los Angeles, California",0
1706779545,ios,"Dallas-Fort Worth, Texas",0
1706779908,ios,"Philadelphia, Pennsylvania",0
1706779919,android,"Philadelphia, Pennsylvania",0
1706780206,android,"New York, New York",0
1706780447,ios,"Los Angeles, California",0
1706780511,android,"Chicago, Illinois",0
1706780811,ios,"Chicago, Illinois",0
1706781207,ios,"New York, New York",0
1706781457,android,"San Francisco-Oakland-San Jose, California",0
1706781601,android,"New York, New York",0
1706781773,android,"Los Angeles, California",0
1706781826,ios,"New York, New York",0
1706781851,ios,"New York, New York",0
1706782010,android,"Los Angeles, California",0
1706782021,ios,"New York, New York",0
1706782297,ios,"Los Angeles, California",0
1706783054,ios,"Boston (Manchester), Massachusetts",0
1706783079,android,"New York, New York",0
1706783124,android,"New York, New York",0
1706783291,ios,"San Francisco-Oakland-San Jose, California",0
1706783399,ios,"Washington, D.C. (Hagerstown)",0
1706783527,android,"New York, New York",0
1706783966,ios,"New York, New York",0
1706784096,ios,"Dallas-Fort Worth, Texas",0
1706784411,android,"Boston (Manchester), Massachusetts",0
1706784600,android,"New York, New York",0
1706784831,ios,"Dallas-Fort Worth, Texas",0
1706785069,ios,"New York, New York",0
1706785124,ios,"New York, New York",0
1706785182,ios,"New York, New York",0
1706785483,ios,"New York, New York",0
1706785490,ios,"Los Angeles, California",0
1706785671,ios,"Los Angeles, California",0
1706785850,ios,"New York, New York",0
1706786081,ios,"Atlanta, Georgia",0
1706786138,ios,"Washington, D.C. (Hagerstown)",0
1706786406,ios,"New York, New York",0
1706786423,ios,"New York, New York",0
1706786547,android,"Philadelphia, Pennsylvania",0
1706787069,android,"Los Angeles, California",0
1706787343,android,"New York, New York",0
1706787732,ios,"New York, New York",0
1706787873,android,"New York, New York",0
1706788005,ios,"New York, New York",0
1706788877,android,"Dallas-Fort Worth, Texas",0
1706788941,android,"Dallas-Fort Worth, Texas",0
1706788952,ios,"New York, New York",0
1706789187,android,"Chicago, Illinois",0
1706789266,ios,"Houston, Texas",0
1706790096,ios,"Philadelphia, Pennsylvania",0
1706790167,android,"Los Angeles, California",1
1706790637,android,"Washington, D.C. (Hagerstown)",0
1706790945,ios,"New York, New York",0
1706790978,android,"Houston, Texas",0
1706791110,ios,"Washington, D.C. (Hagerstown)",0
1706791410,ios,"Houston, Texas",0
1706791491,android,"Los Angeles, California",0
1706791747,android,"Houston, Texas",0
1706791783,android,"Houston, Texas",0
1706791902,ios,"Philadelphia, Pennsylvania",0
1706792409,android,"New York, New York",0
1706792467,ios,"San Francisco-Oakland-San Jose, California",0
1706792573,ios,"New York, New York",0
1706792617,ios,"Washington, D.C. (Hagerstown)",0
1706792637,android,"Houston, Texas",0
1706792751,android,"Washington, D.C. (Hagerstown)",0
1706792954,ios,"New York, New York",0
1706793303,ios,"Washington, D.C. (Hagerstown)",0
1706793694,ios,"Atlanta, Georgia",0
1706793752,ios,"New York, New York",0
1706793782,android,"Boston (Manchester), Massachusetts",0
1706793867,ios,"Chicago, Illinois",0
1706794525,android,"New York, New York",0
1706794795,ios,"Dallas-Fort Worth, Texas",0
1706795326,android,"San Francisco-Oakland-San Jose, California",0
1706795434,android,"Boston (Manchester), Massachusetts",0
1706795704,ios,"New York, New York",0
1706795970,ios,"New York, New York",0
1706796067,ios,"Washington, D.C. (Hagerstown)",0
1706796434,ios,"Chicago, Illinois",0
1706796573,android,"New York, New York",0
1706797121,android,"New York, New York",0
1706797204,android,"New York, New York",0
1706797305,android,"Atlanta, Georgia",0
1706797446,android,"San Francisco-Oakland-San Jose, California",0
1706798339,ios,"Los Angeles, California",0
1706798381,ios,"San Francisco-Oakland-San Jose, California",0
1706798500,ios,"New York, New York",0
1706799016,android,"New York, New York",0
1706799343,android,"Houston, Texas",0
1706799496,ios,"Los Angeles, California",0
1706799515,android,"New York, New York",0
1706799555,ios,"Chicago, Illinois",0
1706799566,ios,"Los Angeles, California",0
1706799726,ios,"New York, New York",0
1706799804,ios,"New York, New York",0
1706799872,ios,"Dallas-Fort Worth, Texas",0
1706799888,ios,"Los Angeles, California",0
1706799911,ios,"New York, New York",0
1706799936,ios,"New York, New York",0
1706800159,android,"Chicago, Illinois",0
1706800174,android,"Washington, D.C. (Hagerstown)",0
1706800206,ios,"New York, New York",0
1706800208,ios,"Boston (Manchester), Massachusetts",0
1706800257,android,"Dallas-Fort Worth, Texas",0
1706800296,ios,"New York, New York",0
1706800500,ios,"Boston (Manchester), Massachusetts",0
1706800545,ios,"Los Angeles, California",0
1706800563,ios,"Chicago, Illinois",0
1706800627,ios,"New York, New York",0
1706800689,android,"New York, New York",0
1706800892,ios,"New York, New York",0
1706801368,ios,"New York, New York",0
1706801519,ios,"Dallas-Fort Worth, Texas",0
1706802211,ios,"Philadelphia, Pennsylvania",0
1706802397,ios,"Dallas-Fort Worth, Texas",0
1706802450,ios,"New York, New York",0
1706802466,android,"Chicago, Illinois",0
1706802876,ios,"Los Angeles, California",0
1706802923,android,"San Francisco-Oakland-San Jose, California",0
1706803045,android,"New York, New York",0
1706803464,ios,"Washington, D.C. (Hagerstown)",0
1706804047,ios,"New York, New York",0
1706804676,android,"Los Angeles, California",0
1706804774,ios,"New York, New York",0
1706805430,ios,"Dallas-Fort Worth, Texas",0
1706805508,ios,"Chicago, Illinois",0
1706805681,ios,"Philadelphia, Pennsylvania",0
1706805723,android,"New York, New York",0
1706805968,ios,"Chicago, Illinois",0
1706806314,ios,"Washington, D.C. (Hagerstown)",0
1706806326,ios,"New York, New York",0
1706806328,android,"Philadelphia, Pennsylvania",0
1706806431,ios,"New York, New York",0
1706806451,android,"Los Angeles, California",0
1706806492,ios,"Houston, Texas",0
1706806779,ios,"New York, New York",0
1706806900,ios,"San Francisco-Oakland-San Jose, California",0
1706806910,android,"Atlanta, Georgia",0
1706807074,ios,"Chicago, Illinois",0
1706807078,ios,"San Francisco-Oakland-San Jose, California",0
1706807086,android,"Chicago, Illinois",0
1706807118,ios,"Los Angeles, California",0
1706807126,ios,"Los Angeles, California",0
1706807405,android,"Dallas-Fort Worth, Texas",0
1706807538,ios,"San Francisco-Oakland-San Jose, California",0
1706807860,android,"Chicago, Illinois",0
1706807995,ios,"Boston (Manchester), Massachusetts",0
1706808056,android,"Boston (Manchester), Massachusetts",0
1706808342,ios,"Los Angeles, California",0
1706808363,android,"New York, New York",0
1706808415,ios,"Chicago, Illinois",0
1706808554,android,"Washington, D.C. (Hagerstown)",0
1706808594,ios,"New York, New York",0
1706808597,ios,"Washington, D.C. (Hagerstown)",0
1706808607,android,"New York, New York",0
1706808619,ios,"San Francisco-Oakland-San Jose, California",0
1706808797,android,"Houston, Texas",0
1706809059,ios,"New York, New York",0
1706809636,ios,"Houston, Texas",0
1706809680,android,"San Francisco-Oakland-San Jose, California",0
1706809951,ios,"New York, New York",0
1706810130,ios,"New York, New York",0
1706810231,ios,"New York, New York",0
1706810370,ios,"Los Angeles, California",0
1706810380,android,"San Francisco-Oakland-San Jose, California",0
1706810415,ios,"Dallas-Fort Worth, Texas",0
1706810518,ios,"New York, New York",0
1706810540,ios,"Los Angeles, California",0
1706810744,ios,"New York, New York",0
1706810961,ios,"New York, New York",0
1706810987,ios,"New York, New York",0
1706811239,android,"Los Angeles, California",0
1706811430,ios,"New York, New York",0
1706811443,android,"Los Angeles, California",0
1706811577,ios,"Los Angeles, California",0
1706811615,android,"Chicago, Illinois",0
1706811722,android,"Washington, D.C. (Hagerstown)",0
1706812069,android,"Dallas-Fort Worth, Texas",0
1706812145,ios,"Houston, Texas",0
1706812431,ios,"New York, New York",0
1706812533,android,"Philadelphia, Pennsylvania",0
1706812573,android,"Chicago, Illinois",0
1706813195,ios,"Philadelphia, Pennsylvania",0
1706813204,ios,"Dallas-Fort Worth, Texas",0
1706813486,android,"San Francisco-Oakland-San Jose, California",0
1706813752,android,"Houston, Texas",0
1706813820,android,"New York, New York",0
1706814165,ios,"Chicago, Illinois",0
1706814311,ios,"Boston (Manchester), Massachusetts",0
1706814437,ios,"New York, New York",0
1706814449,ios,"Washington, D.C. (Hagerstown)",0
1706814895,android,"Chicago, Illinois",0
1706814957,ios,"Boston (Manchester), Massachusetts",0
1706815020,ios,"Dallas-Fort Worth, Texas",0
1706815113,android,"Boston (Manchester), Massachusetts",0
1706815360,ios,"New York, New York",0
1706815412,ios,"Los Angeles, California",0
1706815599,android,"New York, New York",0
1706816234,ios,"Los Angeles, California",0
1706816477,android,"Boston (Manchester), Massachusetts",0
1706816477,ios,"New York, New York",0
1706816928,android,"New York, New York",0
1706816985,ios,"New York, New York",0
1706817817,ios,"New York, New York",0
1706818013,android,"Dallas-Fort Worth, Texas",0
1706819277,android,"New York, New York",0
1706819351,ios,"New York, New York",0
1706819534,ios,"New York, New York",0
1706819585,ios,"San Francisco-Oakland-San Jose, California",0
1706819772,ios,"San Francisco-Oakland-San Jose, California",0
1706819801,ios,"New York, New York",0
1706819994,android,"Boston (Manchester), Massachusetts",0
1706820718,ios,"Philadelphia, Pennsylvania",0
1706820735,android,"New York, New York",0
1706821248,ios,"San Francisco-Oakland-San Jose, California",0
1706821483,android,"Dallas-Fort Worth, Texas",0
1706821587,android,"New York, New York",0
1706821817,android,"Dallas-Fort Worth, Texas",0
1706821850,ios,"New York, New York",0
1706821922,android,"Washington, D.C. (Hagerstown)",0
1706822476,ios,"Boston (Manchester), Massachusetts",0
1706822562,android,"Boston (Manchester), Massachusetts",0
1706822887,android,"San Francisco-Oakland-San Jose, California",0
1706822901,android,"Dallas-Fort Worth, Texas",0
1706823601,android,"Philadelphia, Pennsylvania",0
1706823654,ios,"Chicago, Illinois",0
1706824093,ios,"New York, New York",0
1706824095,ios,"New York, New York",0
1706824444,ios,"Philadelphia, Pennsylvania",0
1706824489,android,"Philadelphia, Pennsylvania",0
1706824495,android,"New York, New York",0
1706824861,ios,"New York, New York",0
1706824889,android,"Boston (Manchester), Massachusetts",0
1706825584,android,"New York, New York",0
1706825599,ios,"Houston, Texas",0
1706825726,ios,"Atlanta, Georgia",0
1706825820,ios,"Boston (Manchester), Massachusetts",0
1706826115,android,"New York, New York",0
1706826203,android,"Chicago, Illinois",0
1706826225,android,"New York, New York",0
1706826476,android,"Houston, Texas",0
1706826615,ios,"New York, New York",0
1706827052,android,"Los Angeles, California",0
1706827123,ios,"Philadelphia, Pennsylvania",0
1706827179,ios,"Chicago, Illinois",0
1706827344,android,"Philadelphia, Pennsylvania",0
1706827403,ios,"Washington, D.C. (Hagerstown)",0
1706827598,android,"Dallas-Fort Worth, Texas",0
1706827735,android,"Washington, D.C. (Hagerstown)",0
1706827752,android,"Houston, Texas",0
1706827783,ios,"Boston (Manchester), Massachusetts",0
1706827793,ios,"Los Angeles, California",0
1706827955,android,"Boston (Manchester), Massachusetts",0
1706828449,ios,"Chicago, Illinois",0
1706828586,android,"New York, New York",0
1706828702,ios,"San Francisco-Oakland-San Jose, California",0
1706828737,ios,"New York, New York",0
1706829119,android,"Chicago, Illinois",0
1706829612,android,"San Francisco-Oakland-San Jose, California",0
1706830067,android,"Chicago, Illinois",0
1706830293,android,"Boston (Manchester), Massachusetts",0
1706830931,ios,"New York, New York",0
1706831001,ios,"San Francisco-Oakland-San Jose, California",0
1706831083,android,"New York, New York",0
1706831208,ios,"New York, New York",0
1706831303,ios,"Los Angeles, California",0
1706831523,ios,"New York, New York",0
1706831937,android,"Philadelphia, Pennsylvania",0
1706832657,android,"Dallas-Fort Worth, Texas",0
1706832961,android,"Los Angeles, California",0
1706832979,ios,"New York, New York",0
1706833101,ios,"New York, New York",0
1706833220,android,"Dallas-Fort Worth, Texas",0
1706833403,android,"Houston, Texas",0
1706833536,android,"New York, New York",0
1706833645,ios,"Philadelphia, Pennsylvania",0
1706834094,ios,"New York, New York",0
1706834259,ios,"Philadelphia, Pennsylvania",0
1706834322,ios,"Washington, D.C. (Hagerstown)",0
1706834536,ios,"Chicago, Illinois",0
1706834683,ios,"New York, New York",0
1706834700,ios,"New York, New York",0
1706834807,ios,"Boston (Manchester), Massachusetts",0
1706834843,ios,"Philadelphia, Pennsylvania",0
1706835219,android,"Los Angeles, California",0
1706835508,ios,"San Francisco-Oakland-San Jose, California",0
1706835534,android,"New York, New York",0
1706835986,ios,"Washington, D.C. (Hagerstown)",0
1706836000,ios,"New York, New York",0
1706836005,ios,"New York, New York",0
1706836029,android,"New York, New York",0
1706836515,ios,"Washington, D.C. (Hagerstown)",0
1706836518,android,"Washington, D.C. (Hagerstown)",0
1706836620,ios,"New York, New York",0
1706836731,ios,"Boston (Manchester), Massachusetts",0
1706836833,android,"Los Angeles, California",0
1706836914,ios,"Los Angeles, California",0
1706837563,android,"New York, New York",0
1706837571,android,"Los Angeles, California",0
1706837915,ios,"Los Angeles, California",0
1706838351,ios,"Los Angeles, California",0
1706838475,android,"New York, New York",0
1706838504,ios,"Dallas-Fort Worth, Texas",0
1706838584,android,"New York, New York",0
1706838829,ios,"Washington, D.C. (Hagerstown)",0
1706838899,ios,"Boston (Manchester), Massachusetts",0
1706838944,ios,"New York, New York",0
1706839010,ios,"New York, New York",0
1706839286,android,"Dallas-Fort Worth, Texas",0
1706839541,android,"New York, New York",0
1706839622,ios,"Dallas-Fort Worth, Texas",0
1706839643,ios,"New York, New York",0
1706839759,android,"New York, New York",0
1706839800,android,"Los Angeles, California",0
1706839886,ios,"New York, New York",0
1706840346,ios,"Dallas-Fort Worth, Texas",0
1706841020,ios,"New York, New York",0
1706841098,ios,"New York, New York",0
1706841160,android,"San Francisco-Oakland-San Jose, California",0
1706841258,android,"Atlanta, Georgia",0
1706841332,android,"New York, New York",1
1706841557,android,"Los Angeles, California",0
1706842056,ios,"San Francisco-Oakland-San Jose, California",0
1706842351,android,"Los Angeles, California",0
1706842671,ios,"Atlanta, Georgia",0
1706843050,ios,"Dallas-Fort Worth, Texas",0
1706843443,ios,"Los Angeles, California",0
1706843540,ios,"New York, New York",0
1706843687,android,"Houston, Texas",0
1706843722,ios,"New York, New York",0
1706843990,ios,"San Francisco-Oakland-San Jose, California",0
1706843990,ios,"San Francisco-Oakland-San Jose, California",0
1706844004,ios,"Los Angeles, California",0
1706844024,android,"Boston (Manchester), Massachusetts",0
1706844186,ios,"Philadelphia, Pennsylvania",0
1706844187,android,"Houston, Texas",0
1706844230,ios,"Chicago, Illinois",0
1706844273,ios,"Los Angeles, California",0
1706844392,ios,"Los Angeles, California",0
1706844712,android,"Los Angeles, California",0
1706844799,android,"Chicago, Illinois",0
1706844867,android,"New York, New York",0
1706845007,android,"New York, New York",0
1706845189,ios,"Washington, D.C. (Hagerstown)",0
1706845219,android,"Chicago, Illinois",0
1706845795,android,"Boston (Manchester), Massachusetts",0
1706845797,android,"New York, New York",0
1706845872,ios,"Los Angeles, California",0
